title,location,year,odometer,price,link
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"24,054km","$55,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4746189734?rsqid=0dde878da91b43a88ce9b0ee16bd4b27-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"22,741km","$46,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4746189703?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"45,710km","$46,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4744478981?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,NA                  ,2023,"6,600km","$58,950",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4741431100?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2019 Toyota RAV4,"AUCKLAND, Auckland  ",2019,"17,885km","$38,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4739984377?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"21,390km","$36,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4738439611?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"21,963km","$47,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4738090651?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"19,135km","$36,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4734818998?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"23,656km","$43,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4733129798?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"2,878km","$59,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4732961487?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,NA                  ,2023,"8,400km","$59,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4732841432?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"31,515km","$36,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4731392432?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"40,029km","$34,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4729853433?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"64,700km","$47,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4728174800?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2020 Toyota RAV4,"Manukau City, Auckland",2020,"51,587km","$44,800",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4728034541?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
