title,location,year,odometer,price,link
2023 Honda CR-V,"Wellington, Wellington",2023,2023! Low km's!,"$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944437?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Wellington, Wellington",2020,"45,888km 1498cc, Petrol, Automatic","$29,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944314?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2022 Honda CR-V,"Wellington, Wellington",2022,One owner! Low km's!,"$43,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944291?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Wellington, Wellington",2020,Low km's! Leather! Sunroof! 3 year warranty!,"$39,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640944160?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2022 Honda CR-V,"Wellington, Wellington",2022,"13,556km 1496cc, Petrol, Automatic","$42,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4640943996?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2023 Honda CR-V,"Wellington, Wellington",2023,"14,030km 1496cc, Petrol, Automatic","$38,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4636574787?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Christchurch, Canterbury",2020,"27,305km 1498cc, Petrol, Automatic","$34,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4626437635?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2018 Honda CR-V,"Christchurch, Canterbury",2018,"56,302km 1498cc, Petrol, Automatic","$29,854",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4623672674?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2023 Honda CR-V,"Christchurch, Canterbury",2023,"17,360km 1496cc, Petrol, Automatic","$39,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4615332919?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2018 Honda CR-V,"Auckland, Auckland  ",2018,"66,000km 2000cc, Petrol, Automatic","$29,975",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4597361097?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2018 Honda CR-V,"Wellington, Wellington",2018,"45,815km 1498cc, Petrol, Automatic","$32,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4567853078?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2020 Honda CR-V,"Christchurch, Canterbury",2020,"39,754km 1498cc, Petrol, Automatic","$37,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4522276737?rsqid=e5a38ae93f0f49ac903787d2554d74ac-001
2021 Honda CR-V,"Wellington, Wellington",2021,"10,076km 1498cc, Petrol, Automatic","$39,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4426939093?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2020 Honda CR-V,"Wellington, Wellington",2020,"34,585km 1498cc, Petrol, Automatic","$31,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4395192949?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"Mt Wellington, Auckland",2022,"5km 2000cc, Hybrid, Automatic","$49,874",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/3993454636?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2024 Honda CR-V,NA                  ,2024,"10km 1498cc, Petrol, Automatic","$55,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4631499839?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2024 Honda CR-V,NA                  ,2024,"10km 1498cc, Petrol, Automatic","$57,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4631499754?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
